date,btc price
2023-12-09,44202
2023-12-08,43270
2023-12-07,43788
2023-12-06,44106
2023-12-05,41974
2023-12-04,39960
2023-12-03,39482
2023-12-02,38688
2023-12-01,37712
2023-11-30,37810
2023-11-29,37802
2023-11-28,37250
2023-11-27,37492
2023-11-26,37810
2023-11-25,37739
2023-11-24,37293
2023-11-23,37465
2023-11-22,35965
2023-11-21,37489
2023-11-20,37414
2023-11-19,36582
2023-11-18,36528
2023-11-17,36202
2023-11-16,37904
2023-11-15,35545
2023-11-14,36549
2023-11-13,37068
2023-11-12,37123
2023-11-11,37344
2023-11-10,36768
2023-11-09,35795
2023-11-08,35437
2023-11-07,35031
2023-11-06,35062
2023-11-05,35048
2023-11-04,34731
2023-11-03,34924
2023-11-02,35457
2023-11-01,34672
2023-10-31,34499
2023-10-30,34556
2023-10-29,34093
2023-10-28,33899
2023-10-27,34174
2023-10-26,34472
2023-10-25,33847
2023-10-24,32953
2023-10-23,30019
2023-10-22,29920
2023-10-21,29677
2023-10-20,28716
2023-10-19,28328
2023-10-18,28418
2023-10-17,28513
2023-10-16,27150
2023-10-15,26863
2023-10-14,26841
2023-10-13,26729
2023-10-12,26842
2023-10-11,27392
2023-10-10,27594
2023-10-09,27948
2023-10-08,27978
2023-10-07,27958
2023-10-06,27436
2023-10-05,27792
2023-10-04,27439
2023-10-03,27615
2023-10-02,27968
2023-10-01,26970
2023-09-30,26917
2023-09-29,27009
2023-09-28,26350
2023-09-27,26205
2023-09-26,26299
2023-09-25,26250
2023-09-24,26574
2023-09-23,26572
2023-09-22,26561
2023-09-21,27116
2023-09-20,27219
2023-09-19,26741
2023-09-18,26521
2023-09-17,26558
2023-09-16,26635
2023-09-15,26531
2023-09-14,26223
2023-09-13,25867
2023-09-12,25133
2023-09-11,25835
2023-09-10,25889
2023-09-09,25907
2023-09-08,26192
2023-09-07,25753
2023-09-06,25784
2023-09-05,25829
2023-09-04,25960
2023-09-03,25854
2023-09-02,25812
2023-09-01,25927
2023-08-31,27297
2023-08-30,27731
2023-08-29,26109
2023-08-28,26083
2023-08-27,26002
2023-08-26,26044
2023-08-25,26135
2023-08-24,26450
2023-08-23,26034
2023-08-22,26119
2023-08-21,26161
2023-08-20,26105
2023-08-19,26043
2023-08-18,26502
2023-08-17,28754
2023-08-16,29170
2023-08-15,29401
2023-08-14,29285
2023-08-13,29412
2023-08-12,29397
2023-08-11,29424
2023-08-10,29585
2023-08-09,29780
2023-08-08,29178
2023-08-07,29044
2023-08-06,29047
2023-08-05,29088
2023-08-04,29176
2023-08-03,29147
2023-08-02,29537
2023-08-01,29233
2023-07-31,29278
2023-07-30,29357
2023-07-29,29314
2023-07-28,29200
2023-07-27,29364
2023-07-26,29223
2023-07-25,29185
2023-07-24,30058
2023-07-23,29710
2023-07-22,29915
2023-07-21,29787
2023-07-20,29920
2023-07-19,29848
2023-07-18,30148
2023-07-17,30237
2023-07-16,30298
2023-07-15,30312
2023-07-14,31446
2023-07-13,30407
2023-07-12,30621
2023-07-11,30394
2023-07-10,30170
2023-07-09,30264
2023-07-08,30315
2023-07-07,29990
2023-07-06,30485
2023-07-05,30776
2023-07-04,31135
2023-07-03,30572
2023-07-02,30584
2023-07-01,30481
2023-06-30,30467
2023-06-29,30083
2023-06-28,30694
2023-06-27,30286
2023-06-26,30455
2023-06-25,30538
2023-06-24,30629
2023-06-23,29936
2023-06-22,30102
2023-06-21,28331
2023-06-20,26779
2023-06-19,26333
2023-06-18,26501
2023-06-17,26327
2023-06-16,25565
2023-06-15,25108
2023-06-14,25872
2023-06-13,25910
2023-06-12,25917
2023-06-11,25858
2023-06-10,26470
2023-06-09,26508
2023-06-08,26346
2023-06-07,27217
2023-06-06,25793
2023-06-05,27315
2023-06-04,27066
2023-06-03,27248
2023-06-02,26824
2023-06-01,27245
2023-05-31,27714
2023-05-30,27760
2023-05-29,28110
2023-05-28,26848
2023-05-27,26718
2023-05-26,26476
2023-05-25,26339
2023-05-24,27223
2023-05-23,26870
2023-05-22,26774
2023-05-21,27094
2023-05-20,26884
2023-05-19,26843
2023-05-18,27390
2023-05-17,27023
2023-05-16,27228
2023-05-15,26912
2023-05-14,26798
2023-05-13,26788
2023-05-12,27025
2023-05-11,27640
2023-05-10,27607
2023-05-09,27697
2023-05-08,28611
2023-05-07,28888
2023-05-06,29520
2023-05-05,28846
2023-05-04,28988
2023-05-03,28654
2023-05-02,28126
2023-05-01,29362
2023-04-30,29218
2023-04-29,29340
2023-04-28,29484
2023-04-27,28352
2023-04-26,28351
2023-04-25,27512
2023-04-24,27607
2023-04-23,27862
2023-04-22,27300
2023-04-21,28256
2023-04-20,28833
2023-04-19,30366
2023-04-18,29467
2023-04-17,30305
2023-04-16,30312
2023-04-15,30468
2023-04-14,30405
2023-04-13,29904
2023-04-12,30261
2023-04-11,29658
2023-04-10,28351
2023-04-09,27968
2023-04-08,27934
2023-04-07,28043
2023-04-06,28197
2023-04-05,28175
2023-04-04,27815
2023-04-03,28237
2023-04-02,28499
2023-04-01,28517
2023-03-31,28041
2023-03-30,28395
2023-03-29,27291
2023-03-28,27182
2023-03-27,28048
2023-03-26,27670
2023-03-25,27595
2023-03-24,28460
2023-03-23,27449
2023-03-22,28264
2023-03-21,27929
2023-03-20,28187
2023-03-19,27108
2023-03-18,27467
2023-03-17,25161
2023-03-16,24471
2023-03-15,24759
2023-03-14,24179
2023-03-13,22096
2023-03-12,20522
2023-03-11,20195
2023-03-10,20376
2023-03-09,21713
2023-03-08,22217
2023-03-07,22415
2023-03-06,22422
2023-03-05,22348
2023-03-04,22367
2023-03-03,23464
2023-03-02,23634
2023-03-01,23156
2023-02-28,23518
2023-02-27,23541
2023-02-26,23157
2023-02-25,23172
2023-02-24,23951
2023-02-23,24146
2023-02-22,24417
2023-02-21,24787
2023-02-20,24284
2023-02-19,24643
2023-02-18,24629
2023-02-17,23757
2023-02-16,24308
2023-02-15,22220
2023-02-14,21808
2023-02-13,21780
2023-02-12,21889
2023-02-11,21630
2023-02-10,21821
2023-02-09,22948
2023-02-08,23295
2023-02-07,22786
2023-02-06,22946
2023-02-05,23340
2023-02-04,23452
2023-02-03,23540
2023-02-02,23725
2023-02-01,23137
2023-01-31,22840
2023-01-30,23797
2023-01-29,23022
2023-01-28,23083
2023-01-27,23025
2023-01-26,23180
2023-01-25,22610
2023-01-24,22985
2023-01-23,22737
2023-01-22,22771
2023-01-21,22706
2023-01-20,21082
2023-01-19,20727
2023-01-18,21157
2023-01-17,21175
2023-01-16,20853
2023-01-15,21019
2023-01-14,19942
2023-01-13,18867
2023-01-12,17997
2023-01-11,17437
2023-01-10,17195
2023-01-09,17075
2023-01-08,16951
2023-01-07,16960
2023-01-06,16832
2023-01-05,16855
2023-01-04,16678
2023-01-03,16674
2023-01-02,16616
2023-01-01,16541
2022-12-31,16604
2022-12-30,16644
2022-12-29,16539
2022-12-28,16702
2022-12-27,16900
2022-12-26,16842
2022-12-25,16849
2022-12-24,16791
2022-12-23,16825
2022-12-22,16817
2022-12-21,16899
2022-12-20,16423
2022-12-19,16743
2022-12-18,16806
2022-12-17,16624
2022-12-16,17338
2022-12-15,17809
2022-12-14,17784
2022-12-13,17180
2022-12-12,17101
2022-12-11,17125
2022-12-10,17150
2022-12-09,17235
2022-12-08,16851
2022-12-07,17086
2022-12-06,16973
2022-12-05,17150
2022-12-04,16923
2022-12-03,17085
2022-12-02,16973
2022-12-01,17187
2022-11-30,16442
2022-11-29,16222
2022-11-28,16459
2022-11-27,16456
2022-11-26,16524
2022-11-25,16596
2022-11-24,16608
2022-11-23,16172
2022-11-22,15814
2022-11-21,16304
2022-11-20,16713
2022-11-19,16707
2022-11-18,16718
2022-11-17,16689
2022-11-16,16891
2022-11-15,16646
2022-11-14,16344
2022-11-13,16798
2022-11-12,17080
2022-11-11,17595
2022-11-10,15742
2022-11-09,18562
2022-11-08,20598
2022-11-07,20907
2022-11-06,21283
2022-11-05,21150
2022-11-04,20211
2022-11-03,20163
2022-11-02,20490
2022-11-01,20495
2022-10-31,20624
2022-10-30,20801
2022-10-29,20591
2022-10-28,20278
2022-10-27,20774
2022-10-26,20095
2022-10-25,19317
2022-10-24,19575
2022-10-23,19204
2022-10-22,19173
2022-10-21,19031
2022-10-20,19134
2022-10-19,19348
2022-10-18,19558
2022-10-17,19273
2022-10-16,19073
2022-10-15,19198
2022-10-14,19384
2022-10-13,19153
2022-10-12,19059
2022-10-11,19143
2022-10-10,19448
2022-10-09,19418
2022-10-08,19457
2022-10-07,19949
2022-10-06,20162
2022-10-05,20345
2022-10-04,19621
2022-10-03,19065
2022-10-02,19314
2022-10-01,19477
2022-09-30,19564
2022-09-29,19445
2022-09-28,19116
2022-09-27,19220
2022-09-26,18809
2022-09-25,18940
2022-09-24,19292
2022-09-23,19464
2022-09-22,18540
2022-09-21,18870
2022-09-20,19570
2022-09-19,19437
2022-09-18,20132
2022-09-17,19764
2022-09-16,19702
2022-09-15,20256
2022-09-14,20185
2022-09-13,22340
2022-09-12,21740
2022-09-11,21707
2022-09-10,21360
2022-09-09,19323
2022-09-08,19281
2022-09-07,18860
2022-09-06,19786
2022-09-05,19980
2022-09-04,19815
2022-09-03,19941
2022-09-02,20154
2022-09-01,20024
2022-08-31,19805
2022-08-30,20309
2022-08-29,19659
2022-08-28,20070
2022-08-27,20271
2022-08-26,21618
2022-08-25,21395
2022-08-24,21562
2022-08-23,21388
2022-08-22,21616
2022-08-21,21175
2022-08-20,20946
2022-08-19,23248
2022-08-18,23359
2022-08-17,23913
2022-08-16,24179
2022-08-15,24313
2022-08-14,24434
2022-08-13,24411
2022-08-12,23949
2022-08-11,23949
2022-08-10,23204
2022-08-09,23824
2022-08-08,23198
2022-08-07,22985
2022-08-06,23225
2022-08-05,22678
2022-08-04,22860
2022-08-03,23054
2022-08-02,23334
2022-08-01,23380
2022-07-31,23653
2022-07-30,23848
2022-07-29,23822
2022-07-28,22909
2022-07-27,21236
2022-07-26,21330
2022-07-25,22614
2022-07-24,22506
2022-07-23,22697
2022-07-22,23155
2022-07-21,23313
2022-07-20,23367
2022-07-19,22395
2022-07-18,20824
2022-07-17,21193
2022-07-16,20795
2022-07-15,20575
2022-07-14,20225
2022-07-13,19351
2022-07-12,19998
2022-07-11,20860
2022-07-10,21590
2022-07-09,21859
2022-07-08,21661
2022-07-07,20567
2022-07-06,20189
2022-07-05,20257
2022-07-04,19310
2022-07-03,19268
2022-07-02,19407
2022-07-01,19608
2022-06-30,20109
2022-06-29,20283
2022-06-28,20751
2022-06-27,21053
2022-06-26,21526
2022-06-25,21263
2022-06-24,21100
2022-06-23,19984
2022-06-22,20701
2022-06-21,20637
2022-06-20,20516
2022-06-19,19047
2022-06-18,20473
2022-06-17,20409
2022-06-16,22529
2022-06-15,22245
2022-06-14,22526
2022-06-13,26767
2022-06-12,28374
2022-06-11,29101
2022-06-10,30101
2022-06-09,30229
2022-06-08,31265
2022-06-07,31373
2022-06-06,29918
2022-06-05,29872
2022-06-04,29714
2022-06-03,30481
2022-06-02,29833
2022-06-01,31866
2022-05-31,31741
2022-05-30,29493
2022-05-29,29088
2022-05-28,28647
2022-05-27,29347
2022-05-26,29585
2022-05-25,29655
2022-05-24,29163
2022-05-23,30351
2022-05-22,29492
2022-05-21,29257
2022-05-20,30382
2022-05-19,28772
2022-05-18,30502
2022-05-17,29924
2022-05-16,31319
2022-05-15,30189
2022-05-14,29311
2022-05-13,29126
